loss,accuracy,val_loss,val_accuracy
0.5576282143592834,0.8702744841575623,0.32209911942481995,0.941444456577301
0.2883882224559784,0.9476470351219177,0.25747302174568176,0.9545555710792542
0.23137705028057098,0.9583137035369873,0.20005154609680176,0.9653333425521851
0.199851393699646,0.9634901881217957,0.18895526230335236,0.9655555486679077
0.17990393936634064,0.9665098190307617,0.175985649228096,0.9670000076293945
0.16712075471878052,0.9695882201194763,0.16375616192817688,0.9701111316680908
0.1554245501756668,0.9715294241905212,0.1851421743631363,0.9605555534362793
0.1470920890569687,0.9728235006332397,0.1410582810640335,0.9753333330154419
0.13938206434249878,0.9746666550636292,0.15044957399368286,0.9691110849380493
0.13434438407421112,0.9751372337341309,0.14260660111904144,0.9706666469573975
0.1300460398197174,0.975686252117157,0.15411263704299927,0.9678888916969299
0.12371613830327988,0.9776862859725952,0.13204661011695862,0.9739999771118164
0.12060796469449997,0.977647066116333,0.12280011922121048,0.975777804851532
0.11636064946651459,0.9777255058288574,0.15312500298023224,0.9657777547836304
0.11208955943584442,0.9793333411216736,0.1192677840590477,0.9781110882759094
0.10953475534915924,0.9798235297203064,0.13938693702220917,0.9692222476005554
0.10619793832302094,0.9808823466300964,0.13136622309684753,0.9706666469573975
0.10320205241441727,0.9808235168457031,0.1168496236205101,0.9776666760444641
0.10193318873643875,0.9802941083908081,0.11975378543138504,0.9738888740539551
0.09889788180589676,0.9816862940788269,0.1255398988723755,0.973111093044281
